<urn:uuid:d8e63f83-f363-4c39-9723-1c64b0ff91c5>	accept
<urn:uuid:3571e8ea-6236-4256-a71a-c8dfa1b80e2e>	accept
<urn:uuid:29dec73a-052b-4174-b74b-5eda180cd90b>	accept
<urn:uuid:f9b2b0ac-c15a-4f74-89bf-9287f42adfa2>	accept
<urn:uuid:fd7ece47-7592-4fab-9946-aa1c8a2f144a>	accept
<urn:uuid:e2949db6-2b35-4d71-9858-213d3a125368>	accept
<urn:uuid:14ea50cc-7bac-4fc8-9c99-e1640b503689>	accept
<urn:uuid:0ef83b3b-0ced-4afd-a33a-c87a0c692400>	accept
<urn:uuid:efa20e44-1fe8-43ff-bead-cbbc714d4490>	reject
<urn:uuid:f7662fe0-872f-452c-8327-efd9d900645e>	accept
<urn:uuid:bda33394-0572-4f14-9810-324d2edce262>	accept
<urn:uuid:dd911417-2299-4a97-a2c9-d4e1e9e4bd75>	accept
<urn:uuid:804c08d4-aa1d-41c7-b7b7-4348dfc97df9>	accept
<urn:uuid:d9e784ba-4484-485b-894c-ba44873cb255>	accept
<urn:uuid:582e1c83-99c1-4a2f-9654-f2bcf9b765bc>	accept
<urn:uuid:606b09a1-a403-4221-83bc-de5a55b7faa4>	accept
<urn:uuid:32917a32-abb6-430a-8408-8070ad7ee1f0>	accept
<urn:uuid:63aaae8d-e8ac-4483-9915-b6ceefd30702>	accept
<urn:uuid:2ad348a0-36d1-48c8-a2fc-c0e5c4324d26>	accept
<urn:uuid:06183e3f-a609-432a-a33b-9a284c9affec>	accept
<urn:uuid:f05cb2d8-e478-43ed-a97c-6e79b222fcb8>	accept
<urn:uuid:d0078a22-58c4-46ad-80e9-7141d5730e16>	accept
<urn:uuid:a0a97d00-7ee2-45dc-8f56-73d7a5f590e1>	accept
<urn:uuid:92f506ed-0f9f-43d0-896f-49a171b41f94>	accept
<urn:uuid:5f9ee393-b3b5-45df-8e96-9f373c4cecf4>	accept
<urn:uuid:7695d3ff-d130-4f1d-906e-5f1825be4a0b>	accept
<urn:uuid:26b43dee-196e-47ed-b549-c4bcce49c5af>	accept
<urn:uuid:0a8de0b2-d612-4850-b782-2ed700b9141e>	accept
<urn:uuid:0bb6f57a-6553-4bf8-8c26-c59871446562>	reject
<urn:uuid:b24d5185-bb15-4c4e-8b23-6fbdb1e8c12b>	reject
<urn:uuid:d624bacd-af4e-4fa5-9c89-a9c6b3eb8f05>	accept
<urn:uuid:cd72a0ad-14e8-4a29-8600-25f2220dddf1>	accept
<urn:uuid:633114ad-b1c8-4573-a3ab-3480ac0cc544>	accept
<urn:uuid:edee5fed-471a-4134-a2c4-fcd38068c604>	accept
<urn:uuid:b4d0b211-2ddc-4144-ba3d-f146afbe7fa5>	accept
<urn:uuid:a1f3459b-6b7d-413e-941b-f8db270b4ba4>	accept
<urn:uuid:54a03591-520e-4f06-b50d-672e06fad087>	accept
<urn:uuid:700ed3d6-63ff-4ad3-96ed-a0502a4a4235>	accept
<urn:uuid:0d180357-cf07-416f-bd12-eca0ea809971>	accept
<urn:uuid:ab84d833-19b2-4adf-9a32-268c6b870141>	accept
<urn:uuid:aa6dc91d-48b3-4d9e-8bc3-0cde0a598189>	accept
<urn:uuid:7e4c0a91-f675-48dd-94a1-23c4bb2d243f>	accept
<urn:uuid:723e0062-b6dc-49cd-9177-704de576ed53>	accept
<urn:uuid:89820e7a-6a88-4330-b131-428bf5e1acb4>	accept
<urn:uuid:29f9fd7b-87b8-4bff-b671-877c2de2f95f>	accept
<urn:uuid:e0db0dff-ad1f-4989-9c20-bdc972e6ea7b>	accept
<urn:uuid:296a9618-64a6-4e42-a7a3-189e3f122e37>	accept
<urn:uuid:011cdfb7-eb16-4bf2-99c9-5000297a4900>	accept
<urn:uuid:bd0ccdd4-1139-44f3-b02d-af8eb18d9308>	accept
<urn:uuid:1d9de29f-6759-41bb-a1e8-883cd5e6ac7d>	accept
<urn:uuid:48cb40e7-3dd9-48fd-9d8d-9ed039de6cba>	accept
<urn:uuid:783747ed-4ff2-4b74-b2c8-d6cde2f1eeaa>	accept
